system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
172,jp,https://www.hokudai.ac.jp,dspace,57986.0,institutional,https://eprints.lib.hokudai.ac.jp/,,http://eprints.lib.hokudai.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/172,
174,cn,http://www.ust.hk/,other,11289.0,institutional,http://repository.ust.hk/,,http://repository.ust.hk/ir/OAI/Server,https://v2.sherpa.ac.uk/id/repository/174,VuFind
175,cn,http://www.hku.hk,dspace,11850.0,institutional,http://hub.hku.hk/handle/10722/1057,,,https://v2.sherpa.ac.uk/id/repository/175,
176,us,http://www.humboldt.edu/,dspace,2388.0,institutional,http://humboldt-dspace.calstate.edu/,,,https://v2.sherpa.ac.uk/id/repository/176,
179,us,http://www.iupui.edu/,dspace,24404.0,institutional,https://scholarworks.iupui.edu/,17942.0,http://scholarworks.iupui.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/179,
182,in,http://www.iisc.ernet.in,eprints,50668.0,institutional,http://eprints.iisc.ac.in,1.0,http://eprints.iisc.ernet.in/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/182,
185,ch,http://www.epfl.ch/,invenio,169205.0,institutional,https://infoscience.epfl.ch/,37451.0,http://infoscience.epfl.ch/oai2d/,https://v2.sherpa.ac.uk/id/repository/185,
186,fr,https://www.inp-toulouse.fr,eprints,1418.0,institutional,http://ethesis.inp-toulouse.fr/,,http://ethesis.inp-toulouse.fr/perl/oai2,https://v2.sherpa.ac.uk/id/repository/186,
193,us,http://www.indiana.edu/,dspace,8859.0,institutional,https://scholarworks.iu.edu/dspace/,,http://scholarworks.iu.edu/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/193,
194,us,http://www.jefferson.edu/,other,21091.0,institutional,http://jdc.jefferson.edu/,10413.0,http://jdc.jefferson.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/194,Digital Commons
