,clickable_url,url_check
272,http://scholar.valpo.edu/,200
273,http://scholarship.law.wm.edu/,200
274,http://thekeep.eiu.edu/,200
275,http://digitalrepository.smu.edu/,200
276,http://diginole.lib.fsu.edu/,200
277,http://scholarworks.wmich.edu/,200
278,http://spark.parkland.edu/,200
279,https://digitalcommons.lesley.edu/,200
280,http://digitalcommons.brockport.edu/,ConnectionError
281,http://digitalcommons.sacredheart.edu/,200
282,http://digitalcommons.pepperdine.edu/,200
283,http://scholarcommons.usf.edu/,200
284,http://digitalcommons.unf.edu/,200
285,http://digitalwindow.vassar.edu/,200
286,http://uknowledge.uky.edu/,200
287,http://digitalcommons.bard.edu/,200
288,http://commons.emich.edu/,200
289,http://digitalcommons.wpi.edu/,403
290,http://opus.ipfw.edu/,ConnectionError
291,https://lib.dr.iastate.edu/repository,200
292,http://digitalcommons.ric.edu/,200
293,http://digitalcommons.mtech.edu/,200
294,http://scholarlycommons.susqu.edu,ConnectionError
295,http://via.library.depaul.edu/,200
296,http://ecommons.luc.edu/,200
297,http://publications.lakeforest.edu/,ConnectionError
298,http://fisherpub.sjfc.edu/,200
299,http://vc.bridgew.edu/,200
300,http://scholars.unh.edu/,200
301,http://mds.marshall.edu/,200
302,http://ir.library.illinoisstate.edu/,200
303,http://digitalcommons.salve.edu/fac_staff/,200
304,http://ir.lawnet.fordham.edu/,200
305,http://cupola.gettysburg.edu/,200
306,http://engagedscholarship.csuohio.edu/,200
307,http://scholarlyrepository.miami.edu/,200
308,http://scholarworks.rit.edu/,200
309,http://scholarworks.uvm.edu/,200
310,http://nsuworks.nova.edu/,200
311,http://digitalcommons.georgefox.edu/,200
312,http://digitalcommons.cwu.edu/,200
313,http://scholarworks.sfasu.edu/,200
314,http://scholar.utc.edu/,200
315,http://scholarship.law.ufl.edu/,200
316,http://scholarscompass.vcu.edu/,200
317,http://cedar.wwu.edu/,200
318,http://digitalcommons.chapman.edu/,200
319,http://digitalcommons.lasalle.edu/,200
320,http://digitalcommons.law.yale.edu/,200
321,http://scholarexchange.furman.edu/,200
322,http://digitalcommons.framingham.edu/,200
323,http://academicworks.cuny.edu/,200
324,https://digitalcommons.kennesaw.edu,200
325,http://preserve.lehigh.edu/,200
326,http://source.ucdenver.edu/,200
327,http://digitalcommons.gardner-webb.edu/,200
328,http://dh.howard.edu/,200
329,http://scholar.colorado.edu/,200
330,http://digitalcommons.murraystate.edu/,200
331,http://cornerstone.lib.mnsu.edu/,200
332,http://digitalcommons.acu.edu/,200
333,http://repository.stcloudstate.edu/,200
334,http://scholarworks.lib.csusb.edu/,200
335,https://scholarworks.uark.edu,200
336,http://works.swarthmore.edu/,200
337,http://scholarcommons.scu.edu/,200
338,http://orb.binghamton.edu/,200
339,http://openprairie.sdstate.edu/,200
340,http://scholar.dominican.edu/,200
341,http://digitalcommons.buffalostate.edu/,200
342,http://digital.sandiego.edu/,200
343,https://commons.erau.edu,200
344,http://digitalcommons.library.umaine.edu/,200
345,https://digitalcommons.dartmouth.edu/,200
346,https://digitalcommons.coastal.edu/,200
347,https://pillars.taylor.edu/,200
348,https://scholarworks.utrgv.edu,200
349,https://scholarworks.uni.edu/,200
350,https://ir.library.louisville.edu/,200
351,https://csuepress.columbusstate.edu/,200
352,https://digitalcommons.odu.edu,200
353,https://research.upjohn.org/,200
354,https://scholarship.richmond.edu/,200
355,https://ir.una.edu/,200
356,https://neiudc.neiu.edu/,200
357,https://scholars.carroll.edu/,200
358,https://scholar.dickinson.edu/,ConnectionError
359,http://digitalcommons.northgeorgia.edu/,200
360,https://scholarworks.wm.edu/,200
361,http://commons.library.stonybrook.edu/,200
362,http://scholarcommons.sc.edu/,200
363,https://elischolar.library.yale.edu/,200
364,http://touroscholar.touro.edu,200
365,http://idun.augsburg.edu,200
366,https://soar.usa.edu,200
367,http://digitalcommons.newhaven.edu,200
368,https://digitalrepository.trincoll.edu,200
369,https://rdw.rowan.edu/,200
370,https://scarab.bates.edu/,200
371,http://epublications.regis.edu,200
372,http://www.exhibit.xavier.edu,200
373,https://digitalcommons.wofford.edu,200
374,http://digitalcommons.winthrop.edu,200
375,https://digitalcommons.whitworth.edu,200
376,http://repository.wellesley.edu,200
377,http://scholarworks.waldenu.edu,200
378,http://athenaeum.uiw.edu,200
379,https://repository.uwyo.edu,ConnectionError
380,http://dc.uwm.edu,200
381,https://ir.stthomas.edu,200
382,http://repository.usfca.edu,200
383,http://digitalcommons.law.ou.edu,200
384,https://digscholarship.unco.edu,200
385,http://scholarship.law.unc.edu,200
386,http://digitalrepository.unm.edu,200
387,http://irl.umsl.edu,200
388,http://scholarship.law.missouri.edu,200
389,http://scholarship.law.umn.edu,200
390,http://digitalcommons.law.uidaho.edu,200
391,http://digitalcommons.du.edu,200
392,http://tuspubs.tuskegee.edu,200
393,http://digitalcommons.rockefeller.edu,200
394,http://repository.jmls.edu,200
395,http://scholarship.law.tamu.edu,200
396,https://scholarship.law.stjohns.edu,200
397,http://scholar.smu.edu,200
398,https://spark.siue.edu,200
399,http://firescholars.seu.edu,200
400,http://soundideas.pugetsound.edu,200
401,http://digitalcommons.slc.edu,200
402,https://digitalcommons.stmarys-ca.edu,200
403,http://dc.law.utah.edu,200
404,http://digitalcommons.pittstate.edu,200
405,https://scholarship.law.upenn.edu,200
406,http://digitalcommons.otterbein.edu,200
407,https://digitalcommons.olivet.edu,200
408,http://nwcommons.nwciowa.edu,200
409,http://scholarworks.moreheadstate.edu,200
410,http://dc.law.mc.edu,200
411,http://red.mnstate.edu,200
412,http://mushare.marian.edu,200
413,http://digitalcommons.lsu.edu,200
414,http://digitalcommons.liu.edu,200
415,https://scholarsrepository.llu.edu,200
416,http://lux.lawrence.edu,200
417,http://digitalcommons.ithaca.edu,200
418,https://knowledge.library.iup.edu,ConnectionError
419,http://opus.govst.edu,200
420,http://scholars.fhsu.edu,200
421,http://ir.law.fsu.edu,200
422,http://ecollections.law.fiu.edu,200
423,https://commons.law.famu.edu,200
424,http://dc.etsu.edu,200
425,https://digitalcommons.denison.edu,200
426,http://scholarship.depauw.edu,200
427,https://scholar.law.colorado.edu,200
428,http://commons.clarku.edu,200
429,http://scholarship.kentlaw.iit.edu,200
430,http://digitalcommons.centracare.com,200
431,http://scholarlycommons.law.case.edu,200
432,https://digitalcommons.ciis.edu,200
433,http://digitalcommons.bucknell.edu,200
434,http://digitalcommons.law.byu.edu,200
435,http://digitalcommons.brandman.edu,ConnectionError
436,http://digitalcommons.bowdoin.edu,200
437,http://scholarship.law.berkeley.edu,ConnectionError
438,http://place.asburyseminary.edu,200
439,http://digitalcommons.snc.edu,200
440,https://ecommons.udayton.edu,200
441,https://digitalcommons.xula.edu,200
442,https://digitalcommons.wou.edu,200
443,https://repository.wcsu.edu,200
444,https://openscholarship.wustl.edu,200
445,https://digitalcommons.law.villanova.edu,200
446,https://scholarship.law.vanderbilt.edu,200
447,https://digitalcommons.tacoma.uw.edu,200
448,https://digitalcommons.usm.maine.edu,200
