,full_query_x,manual_software_count_x,category_x,clickable_url,Unnamed: 0,system_metadata_id,organisation_country,organisation_url,repository_metadata_software_name,repository_metadata_metadata_record_count,repository_metadata_type,repository_metadata_url,manual_software_count_y,url_check,category_y,full_query_y,repository_metadata_full_text_record_count,repository_metadata_oai_url,system_metadata_uri,repository_metadata_software_name_other
38,,,,repository.ri.jica.go.jp/dspace/,1216,1935,jp,http://www.jica.go.jp/,dspace,165.0,institutional,http://repository.ri.jica.go.jp/dspace/,,ConnectionError,error,,,,https://v2.sherpa.ac.uk/id/repository/1935,
39,,,,s-ir.sap.hokkyodai.ac.jp/,1218,1937,jp,http://www.hokkyodai.ac.jp/,dspace,8433.0,institutional,http://s-ir.sap.hokkyodai.ac.jp/,,ConnectionError,error,,,http://s-ir.sap.hokkyodai.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1937,
40,,,,serve.seigakuin-univ.ac.jp/,1234,1954,jp,http://www.seigakuin.jp/,xoonips,1207.0,institutional,http://serve.seigakuin-univ.ac.jp/,,ConnectionError,error,,0.0,http://serve.seigakuin-univ.ac.jp/reps/modules/xoonips/oai.php,https://v2.sherpa.ac.uk/id/repository/1954,
41,,,,www.jamstec.go.jp/jir/,1088,1766,jp,http://www.jamstec.go.jp/e/,infolib,42812.0,institutional,http://www.jamstec.go.jp/jir/,,404,error,,405.0,http://www.jamstec.go.jp/jir/infolib/oai_repository/repository,https://v2.sherpa.ac.uk/id/repository/1766,Infolib-DBR
42,,,,www.repository.lib.tmu.ac.jp/,1340,2086,jp,http://www.tmu.ac.jp/,dspace,4638.0,institutional,http://www.repository.lib.tmu.ac.jp/,,ConnectionError,error,,0.0,http://www.repository.lib.tmu.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/2086,
43,,,,ir.ide.go.jp/,328,588,jp,http://www.ide.go.jp/,weko,33664.0,institutional,https://ir.ide.go.jp/,,200,error,,17306.0,http://ir.ide.go.jp/oai,https://v2.sherpa.ac.uk/id/repository/588,
44,,,,kiss.kokushikan.ac.jp/pages/sa.aspx,1251,1974,jp,http://www.kokushikan.ac.jp/,shunsaku,,institutional,https://kiss.kokushikan.ac.jp/pages/sa.aspx,,ConnectionError,error,,,,https://v2.sherpa.ac.uk/id/repository/1974,Shunsaku
45,,,,nara-edu.repo.nii.ac.jp/,494,921,jp,http://www.nara-edu.ac.jp/,weko,5167.0,institutional,https://nara-edu.repo.nii.ac.jp/,,200,error,,0.0,http://nara-edu.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/921,
46,,,,think-asia.org,3892,6471,jp,https://www.adb.org/adbi/mai,,,institutional,https://think-asia.org,,401,error,,,https://think-asia.org/oai/driver,https://v2.sherpa.ac.uk/id/repository/6471,
47,,,,ir.acc.senshu-u.ac.jp/,1581,2400,jp,http://www.senshu-u.ac.jp/,weko,8928.0,institutional,http://ir.acc.senshu-u.ac.jp/,,ConnectionError,error,,,http://ir.acc.senshu-u.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/2400,
